validstart,mapdate,none,d0,d1,d2,d3,d4,region_east_central,region_north_central,region_northeast,region_northwest,region_south_central,region_southeast,region_southwest,climatedivisionsid_201,climatedivisionsid_202,climatedivisionsid_203,climatedivisionsid_204,climatedivisionsid_205,climatedivisionsid_206,climatedivisionsid_207,is_drought_area
2021-08-17,20210817,0.0,80.03,14695.04,7710.24,651.17,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-08-17,20210817,0.0,781.58,4464.72,9300.17,22201.1,3091.65,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-08-17,20210817,0.0,47.24,5907.13,2173.69,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-08-17,20210817,0.0,2879.56,3519.89,2793.61,813.41,26.01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-08-17,20210817,0.0,0.0,4795.14,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-08-10,20210810,0.0,0.0,1313.4,13282.51,1.96,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-08-10,20210810,0.0,0.0,0.0,1364.89,9113.71,2991.26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-08-10,20210810,0.0,0.0,935.4,3859.74,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-08-10,20210810,0.0,0.0,3652.81,10893.66,22201.1,3091.65,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-08-10,20210810,0.0,73.05,4276.55,17248.4,955.53,582.96,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-08-10,20210810,0.0,0.0,5050.01,3019.01,59.04,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-08-10,20210810,0.0,1035.12,3323.36,3881.35,1766.64,26.01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-08-03,20210803,0.0,0.0,935.4,3859.74,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-08-03,20210803,0.0,0.0,3652.81,10893.66,22004.19,3288.57,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-08-03,20210803,0.0,0.0,1313.4,13282.51,1.96,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-08-03,20210803,0.0,1141.05,3217.43,3881.35,1766.64,26.01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-08-03,20210803,0.0,0.0,5050.01,3019.01,59.04,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-08-03,20210803,0.0,79.0,4270.59,17248.4,955.53,582.96,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-08-03,20210803,0.0,0.0,0.0,1364.89,9113.71,2991.26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-07-27,20210727,0.0,1141.05,3197.67,2573.14,2250.46,870.15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-07-27,20210727,0.0,0.0,0.0,1200.5,7165.18,5104.17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-07-27,20210727,0.0,0.0,0.0,4795.14,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-07-27,20210727,0.0,0.0,0.0,7559.23,568.83,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-07-27,20210727,0.0,0.0,0.0,8979.83,27570.83,3288.57,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-07-27,20210727,0.0,79.0,1246.1,10695.15,10524.93,591.3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-07-27,20210727,0.0,0.0,458.1,13214.25,925.53,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-07-20,20210720,0.0,1141.05,3197.67,2567.75,2255.86,870.15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-07-20,20210720,0.0,0.0,0.0,0.0,3967.51,9502.34,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-07-20,20210720,0.0,79.0,1246.1,681.69,12943.76,8185.94,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-07-20,20210720,0.0,0.0,0.0,90.7,4704.44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
